Name,Artifact Type,Category,Description,Tags,Classifications,Stewards,Related Terms,Business Start,Business End,Part of Terms,Type of Terms,Abbreviations,Data Classes,Synonyms,Secondary Categories
Address,glossary_term,Locations,Street address of a single or multi-line address.,Locations,Person >> Privacy >> Personally Identifiable Information,,,,,,,,Address,,Person >> Privacy
Age Begin Period,glossary_term,Person >> Employee,The age of an employee when they started their position in a department.,Employee,,,,,,,,,Quantity,,
Attrition Candidate,glossary_term,Person >> Employee,A boolean indicator designating whether an employee is at risk of leaving.,Employee,,,,,,,,,Code,,
BIC,glossary_term,Person >> Privacy,Bank Identifier Code.,Privacy, ,,,,,,,,BIC,,
Bonus,glossary_term,Person >> Employee,The amount of bonus money an employee has received.,Employee,,,,,,,,,Quantity,,
Branch Code,glossary_term,Person >> Employee,Code designating which branches of the company an employee has worked for.,Employee,,,,,,,,,Code,,
Canada Post Code,glossary_term,Locations,A system of postal codes that are used by Canada Post.,Locations,Person >> Privacy >> Personally Identifiable Information,,,,,,,,Canada Post Code,,Person >> Privacy
Canada Province Code,glossary_term,Locations,Two-letter alphabetic codes that are used to identify Canada provinces.,Locations,,,,,,,,,Canada Province Code,,
Canada Province Name,glossary_term,Locations,Specifies the name of Canada Provinces and territories.,Locations,,,,,,,,,Canada Province Name,,
Canadian Social Insurance Number (SIN),glossary_term,Person,A social insurance number (SIN) is a number issued in Canada to administer various government programs.,Person,Person >> Privacy >> Personally Identifiable Information,,,,,,,,Canadian Social Insurance Number (SIN),,Person >> Privacy
Citizenship,glossary_term,Person,"Citizenship is a relationship between an individual and a state to which the individual owes allegiance and in turn is entitled to its protection. Recognition by a state as a citizen generally carries with it recognition of civil, political, and social rights which are not afforded to non-citizens.",Person,,,,,,,,,Citizenship,,
City,glossary_term,Locations,The name of a place such as a city or town.,Person,,, ,,,,,,City,,
Commute Time,glossary_term,Person >> Employee,The amount of time it takes an employee to commute to work.,Employee,,,,,,,,,Quantity,,
Country Code,glossary_term,Locations,A standard code defined for most of the countries and dependent areas in the world.,Locations,,,,,,,,,Country Code,,
Country Name,glossary_term,Locations,Specifies the name of any country.,Locations,,,,,,,,,Country Name,,
Course Code,glossary_term,Person >> Employee,Code designating a training course.,Employee,,,,,,,,,Code,,
Credit Card Expiration Date,glossary_term,Person,"A date value in format month/year representing a credit card expiration date. Expiration dates usually consist of a month and year only. In such cases, the cards remain valid until the last calendar day of that month. If, for example, an expiration date reads 06/19, this means it can be used until midnight on June 30, 2019.",PCI,Person >> Privacy >> Personally Identifiable Information,, ,,,,,,Credit Card Expiration Date,,Person >> Privacy
Credit Card Number,glossary_term,Person,"The number assigned to a credit card, which is used to uniquely identify the individual card holder and the card issuer. A credit card is a payment card issued to cardholders by a card issuer to enable the cardholder to pay for goods and services.",PCI,Person >> Privacy >> Personally Identifiable Information,, ,,,,,CCN,Credit Card Number,,Person >> Privacy
Credit Card Network,glossary_term,Person,"A string representing the network a credit card belongs to; Master Card, Visa, American Express, Discover etc.",PCI,,,,,,,,,Credit Card Network,,Person >> Privacy
Credit Card Validation Number,glossary_term,Person,"A 3 or 4 digits number representing a credit card validation number. The validation number for Visa, Master Card and Discover is a 3-digit number printed on the back of the card. It appears after and to the right of the card number. The American Express validation number is a 4-digit number printed on the front of the card. It appears after and to the right of the card number.",PCI,Person >> Privacy >> Personally Identifiable Information,, ,,,,,,Credit Card Validation Number,,Person >> Privacy
Date Hired,glossary_term,Person >> Employee,The data an employee was hired.,Employee,,,,,,,,,Date,,
Date of Birth,glossary_term,Person,"Data values which are dates, and likely to represent a date of birth.",Person,Person >> Privacy >> Personally Identifiable Information,,,,,, ,,Date of Birth,,Person >> Privacy
,,,,Employee,,,,,,,,,,,
