POSITION_CODE,POSITION_EN,POSITION_DE,POSITION_FR,POSITION_JA,POSITION_AR,POSITION_CS,POSITION_DA,POSITION_EL,POSITION_ES,POSITION_FI,POSITION_HR,POSITION_HU,POSITION_ID,POSITION_IT,POSITION_KK,POSITION_KO,POSITION_MS,POSITION_NL,POSITION_NO,POSITION_PL,POSITION_PT,POSITION_RO,POSITION_RU,POSITION_SC,POSITION_SL,POSITION_SV,POSITION_TC,POSITION_TH,POSITION_TR
1100,Chief Financial Officer,Chief Financial Officer,Directeur financier,最高財務責任者,المدير المالي,Finanční ředitel,Økonomidirektør,Οικονομικός Διευθυντής,Director financiero,Talousjohtaja,Glavni financijski službenik,Gazdasági igazgató,Chief Financial Officer,Chief Financial Officer,Бас қаржы директоры,최고 재무 책임자,Pegawai Ketua Eksekutif,Financieel directeur,CFO (Chief Financial Officer),Dyrektor Finansowy,Diretor financeiro,Director Financiar,Главный финансовый директор,首席财务官,Finančni direktor,Ekonomidirektör,首席財務長,หัวหน้าคณะผู้บริหารการเงิน,Mali İşler Müdürü
1500,Vice-President of Human Resources,Vice-President Personal,Vice-président des ressources humaines,人事担当副社長,نائب الرئيس للموارد البشرية,Viceprezident pro personalistiku,Vicepræsident for personale,Αντιπρόεδρος των Ανθρωπίνων Πόρων,Vicepresidente de recursos humanos,Varahenkilöstöpäällikkö,Potpredsjednik ljudskih resursa,Emberi erőforrások elnökhelyettes,Wakil Presiden Sumber Daya Manusia,Vicepresidente di Risorse Umane,Адами ресурстардың вице-президенті,HR 부사장,Naib Presiden Sumber Manusia,Vicedirecteur Personeelszaken,Vice-President for menneskelige ressurser (HR),Wiceprezes ds. HR,Vice-presidente de recursos humanos,Vice-Preşedinte pentru Resurse Umane,Вице-президент по персоналу,人力资源副总裁,Namestnik direktorja kadrovske službe,Vice VD för personaladministration,人力資源副總裁,รองประธานฝ่ายทรัพยากรบุคคล,İnsan Kaynaklarından Sorumlu Müdür Yardımcısı
1700,Vice-President of Sales Management,Vice-President Vertriebsmanagement,Vice-président - Gestion des ventes,販売管理担当副社長,نائب الرئيس لادارة المبيعات,Viceprezident pro prodej,Vicepræsident for salgsledelse,Αντιπρόεδρος της Διοίκησης Πωλήσεων,Vicepresidente de administración de ventas,Varamyyntipäällikkö,Potpredsjednik upravljanja prodajom,Értékesítési elnökhelyettes,Wakil Presiden Manajemen Penjualan,Vicepresidente di Vendite,Сатылымдар менеджментінің вице-президенті,영업 관리 부사장,Naib Presiden Penguruan Jualan,Vicedirecteur Verkoopmanagement,Vice-President for salgsledelse,Wiceprezes ds. Zarządzania sprzedażą,Vice-presidente de gerenciamento de vendas,Vice-Preşedinte pentru Vânzări,Вице-президент по сбыту,销售管理副总裁,Namestnik direktorja upravljanja prodaje,Vice VD för försäljningsledning och -planering,銷售管理副總裁,รองประธานฝ่ายบริหารงานขาย,Satış Yönetiminden Sorumlu Müdür Yardımcısı
1900,Finance Manager,Finanzmanager,Directeur financier,財務責任者,المدير المالي,Finanční manažer,Økonomichef,Οικονομικός Διευθυντής,Director financiero,Rahoitusjohtaja,Financijski upravitelj,Pénzügyi igazgató,Manajer Keuangan,Direttore finanziario,Қаржы менеджері,재무 관리자,Pengurus Kewangan,Financieel manager,Finansdirektør,Dyrektor finansowy,Gerente de finanças,Manager financiar,Менеджер по финансам,财务经理,Finančni direktor,Finanschef,財務經理,ผู้จัดการฝ่ายการเงิน,Finans Müdürü
2100,Budget Analyst,Budgetanalyst,Analyste budgétaire,予算アナリスト,محلل الميزانية,Rozpočtový analytik,Budgetanalytiker,Αναλυτής προϋπολογισμού,Analista de presupuestos,Budjettianalyytikko,Analitičar za proračun,Költségvetéselemző,Analis Anggaran,Analista del budget,Бюджет талдауы,예산 분석가,Penganalisis Perbelanjaan,Budget analist,Budsjettanalytiker,Analityk budżetu,Analista de orçamentos,Analist buget,Бюджетный аналитик,预算分析师,Analitik proračuna,Budgetanalytiker,預算分析師,นักวิเคราะห์งบประมาณ,Bütçe Analisti
2300,Accounting Manager,Buchhaltungs-Manager,Directeur comptable,会計責任者,مدير الحسابات,Hlavní účetní,Regnskabschef,Διευθυντής Λογιστηρίου,Director de contabilidad,Laskentapäällikkö,Upravitelj knjigovodstva,Számviteli vezető,Manajer Akunting,Direttore amministrativo,Есеп жүргізу менеджері,회계 관리자,Pengurus Perakaunan,Accounting manager,Regnskapssjef,Kierownik ds. Rozliczeń,Gerente contábil,Manager contabilitate,Бухгалтер,会计经理,Računovodski direktor,Redovisningschef,會計經理,ผู้จัดการแผนกบัญชี,Muhasebe Müdürü
2600,Accounting Clerk,Buchhaltungs-Sachbearbeiter,Commis comptable,会計担当者,كاتب الحسابات,Účetní asistent,Bogholderiassistent,Υπάλληλος λογιστηρίου,Oficial contable,Laskuapulainen,Knjigovodstveni službenik,Könyvelési munkatárs,Juru Tulis Akunting,Addetto contabile,Есепші,회계 직원,Kerani Perakaunan,Accounting assistent,Regnskapsmedarbeider,Specjalista ds. Rozliczeń,Auxiliar Contábil,Funcţionar contabilitate,Счетовод,会计人员,Računovodski knjigovodja,Redovisningsassistent,會計職員,เจ้าหน้าที่แผนกบัญชี,Muhasebe Yardımcı Elemanı
3100,Information Technology Manager,Informationstechnologie-Manager,Directeur des technologies de l'information,情報技術責任者,مدير تكنولوجيا المعلومات,Manažer informačních technologií,IT-chef,Διευθυντής Τεχνολογιών της Πληροφορίας,Director de tecnologías de la información,IT-päällikkö,Upravitelj informacijskih tehnologija,Informatikai vezető,Manajer Teknologi Informasi,Responsabile Tecnologie informatiche,Ақпарат технологиясының менеджері,IT 관리자,Pengurus Teknologi Maklumat,IT-manager,IT-sjef,Dyrektor ds. IT,Gerente de tecnologia da informação,Manager tehnologia informaţiei,Руководитель ИТ-отдела,信息技术经理,Direktor informacijske tehnologije,IT-chef,資訊科技經理,ผู้จัดการฝ่ายเทคโนโลยีสารสนเทศ,Bilgi Teknolojileri Müdürü
3300,Software Engineer,Software-Entwickler,Ingénieur logiciel,ソフトウェア技師,مهندس البرمجيات,Softwarový inženýr,Softwareudvikler,Μηχανικός λογισμικού,Ingeniero de software,Ohjelmistoinsinööri,Softverski inženjer,Szoftvermérnök,Insinyur Perangkat Lunak,Progettista software,Бағдарламалық қамтамасыз етудi өңдеу,소프트웨어 엔지니어,Jurutera Perisian,Software-engineer,Programvareingeniør,Programista,Engenheiro de software,Inginer software,Специалист по программному обеспечению,软件工程师,Inženir programske opreme,Programvaruingenjör,軟體工程師,วิศวกรซอฟต์แวร์,Yazılım Mühendisi
3600,Procurement Coordinator,Koordinator Einkauf,Coordonnateur de l'approvisionnement,調達コーディネータ,منسق المشتريات,Koordinátor nákupu,Indkøbskoordinator,Συντονιστής Προμηθειών,Coordinador de compras,Hankintakoordinaattori,Koordinator nabave,Beszerzési koordinátor,Kordinator Pengadaan,Coordinatore acquisti,Сатып алу координаторы,조달 코디네이터,Pengurus Pemerolehan,Coördinator Inkoop,Innkjøpskoordinator,Koordynator zaopatrzenia,Coordenador de compras,Coordonator achiziţii,Координатор закупок,采购协调员,Nabavni koordinator,Upphandlingskoordinator,採購協調員,ผู้ประสานงานจัดซื้อ,Tedarik Koordinatörü
